circuito;nombre_circuito;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD;Blancos;Nulos;1º;2º;3º;4º;5º;6º
170;SANTA FE (GUADALUPE ESTE);1474;728;1335;428;175;231;113;205;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
171;SANTA FE (GUADALUPE OESTE);1657;1324;1354;408;285;209;84;366;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
172;SANTA FE (GUADALUPE NORTE);1180;820;918;288;184;135;59;220;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
175;SANTA FE (MARIA SELVA);4209;3094;3462;1148;731;553;228;794;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
180;SANTA FE (CENTENARIO);1289;1083;636;270;288;118;50;243;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;PROPUESTA FEDERAL;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD
185;SANTA FE (SGTO.BUSTAMANTE);1226;750;1023;433;168;192;86;188;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
190;SANTA FE (EL POZO);591;602;419;291;165;89;34;112;MÁS PARA SANTA FE;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
192;ALTO VERDE;1018;908;317;213;175;107;57;227;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
194;COLASTINE;1161;563;676;256;111;134;52;163;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
196;LA GUARDIA;331;176;102;60;46;31;20;52;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
