circuito;nombre_circuito;establecimiento;domicilio;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD;Blancos;Nulos;1º;2º;3º;4º;5º;6º
161;SANTA FE (LA LOMA);ESC. PRIM. Nº 76 C.C.DE BALLARINI;VIEYTES 5345;445;421;217;78;61;31;26;87;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
161;SANTA FE (LA LOMA);JARDIN INF. N°1491 N.S.DE LOS S.TECHOS;ESPORA 6200;102;113;44;22;11;6;5;28;MÁS PARA SANTA FE;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
162;SANTA FE (JARDIN BOTANICO);E.E.T.P.Y S.O. Nº 508 C.GRIERSON;ALSINA 8801;339;362;281;78;69;46;19;76;MÁS PARA SANTA FE;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
162;SANTA FE (JARDIN BOTANICO);E.P.I. Nº 1341 STA.RITA DE CASIA;FLORENCIO FERNANDEZ 5440;362;396;277;57;68;62;14;72;MÁS PARA SANTA FE;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD;SANTA FE EN COMUN
162;SANTA FE (JARDIN BOTANICO);ESC. PRIM. Nº 1336 COMB.DEL QUEBRACHO;ALSINA 8800;389;364;311;82;84;59;15;77;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;PROPUESTA FEDERAL;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD
162;SANTA FE (JARDIN BOTANICO);ESC. PRIM. Nº 1341 ESPERANZA SOLIDARIA;GORRITI 3980;383;406;304;92;55;39;22;75;MÁS PARA SANTA FE;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
162;SANTA FE (JARDIN BOTANICO);ESC.ESP.Nº 1305 NILS EBER;GORRITI 4652;271;261;221;67;59;32;14;59;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
162;SANTA FE (JARDIN BOTANICO);ESC.ESP.Nº 2026 J.DE LA ESPERANZA;AVDA PEÑALOZA 8420;352;338;299;86;61;40;20;79;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
165;SANTA FE (LOS HORNOS);ASOC.VECINAL REP.LOS HORNOS;AV.F.ZUVIRIA 5899;197;146;200;66;31;26;14;55;LA LIBERTAD AVANZA;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
165;SANTA FE (LOS HORNOS);CLUB ATL.GIMNASIA Y ESGRIMA;DR.ZAVALLA 5149;191;146;167;59;31;29;9;53;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
